,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id,github_release_downloads
10,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2025-04-10 13:54:05,2025-04-10 13:53:58,2455.0,125.0,667.0,23.0,2033.0,485.0,835.0,813.0,2025-04-10 13:14:02,0.53b0,53.0,OpenTelemetry instrumentation for Python modules.,4.0,4.0,341.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,12947980.0,12947980.0,31,True,1,,,
11,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-04-05 18:56:04,2025-04-05 18:56:04,550.0,2.0,237.0,17.0,426.0,90.0,374.0,2280.0,2025-01-06 17:53:05,1.29.0,100.0,Asynchronous Python ODM for MongoDB.,3789.0,3789.0,105.0,https://pypi.org/project/beanie,366599.0,366599.0,29,True,3,-1.0,BeanieODM/beanie,
12,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2025-04-01 16:13:00,2025-04-01 16:13:00,1418.0,6.0,92.0,17.0,919.0,67.0,201.0,1725.0,2024-12-06 10:47:54,0.20.2,80.0,python async orm with fastapi in mind and pydantic validation.,1080.0,1080.0,42.0,https://pypi.org/project/ormar,38376.0,38376.0,29,True,2,,,
13,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2025-04-04 22:08:10,2025-04-04 22:08:10,1872.0,19.0,93.0,16.0,532.0,130.0,318.0,1571.0,2025-04-03 22:05:37,1.24.2,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",465.0,465.0,48.0,https://pypi.org/project/piccolo,36358.0,36358.0,29,True,2,,,
14,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2025-02-20 08:02:36,2025-02-20 08:02:36,378.0,2.0,208.0,15.0,446.0,56.0,204.0,2107.0,2024-10-28 13:15:26,0.20.1,41.0,SQLAlchemy Admin for FastAPI and Starlette.,1518.0,1518.0,64.0,https://pypi.org/project/sqladmin,205258.0,205258.0,28,True,1,,,
15,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2025-04-05 10:27:28,2025-04-05 10:27:26,3404.0,59.0,554.0,37.0,2644.0,397.0,674.0,4227.0,2025-04-05 10:27:50,0.263.2,100.0,A GraphQL library for Python that leverages type annotations.,,,278.0,https://pypi.org/project/strawberry,909.0,958.0,27,True,3,,,590.0
16,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2025-04-08 10:04:39,2024-06-27 18:02:44,258.0,,87.0,13.0,119.0,39.0,62.0,1425.0,,,,A rate limiter for Starlette and FastAPI.,5109.0,5109.0,26.0,https://pypi.org/project/slowapi,1021263.0,1021263.0,27,True,1,,,
17,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/intility/fastapi-azure-auth,https://github.com/intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2025-04-01 07:15:47,2025-03-18 10:31:54,355.0,14.0,72.0,13.0,125.0,4.0,108.0,515.0,2025-03-18 10:12:14,5.1.1,33.0,"Easy and secure implementation of Azure Entra ID (previously AD) for your FastAPI APIs B2C, single- and multi-tenant..",122.0,122.0,31.0,https://pypi.org/project/fastapi-azure-auth,136296.0,136296.0,26,True,2,,,
18,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406.0,3.0,398.0,40.0,49.0,52.0,72.0,3151.0,2021-08-31 03:28:51,1.0.3,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",457.0,457.0,18.0,https://pypi.org/project/fastapi-admin,8101.0,8101.0,25,True,3,,,
19,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128.0,,149.0,46.0,475.0,45.0,263.0,2706.0,,,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2482.0,2482.0,45.0,https://pypi.org/project/gino,27751.0,27751.0,25,True,3,,,
20,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2025-04-07 21:26:57,2025-04-03 02:43:13,1322.0,42.0,52.0,16.0,656.0,8.0,54.0,903.0,2025-03-26 15:15:07,1.4.2,44.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,148.0,148.0,19.0,https://pypi.org/project/authx,15729.0,15729.0,25,True,2,-1.0,,
21,Dapr SDK for Python,dapr/python-sdk,dapr-ext-fastapi,[],dappfs,https://github.com/dapr/python-sdk,https://github.com/dapr/python-sdk,Apache-2.0,2019-06-21 15:51:20,2025-03-17 22:19:17,2025-03-11 10:54:47,468.0,5.0,132.0,25.0,517.0,14.0,256.0,246.0,,,,Dapr SDK for Python.,824.0,824.0,76.0,https://pypi.org/project/dapr-ext-fastapi,85493.0,85493.0,25,True,1,,,
22,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2025-01-23 21:09:34,2025-01-07 22:21:10,560.0,,89.0,19.0,311.0,85.0,90.0,1111.0,2024-04-26 23:28:12,1.0.2,21.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3517.0,3517.0,19.0,https://pypi.org/project/odmantic,47456.0,47456.0,24,True,3,1.0,,
23,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00,2025-01-01 15:11:44,2025-01-01 15:10:36,481.0,,61.0,10.0,93.0,1.0,58.0,669.0,2024-12-14 08:17:42,1.10.3,25.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,1072.0,1072.0,14.0,https://pypi.org/project/fastapi-login,43417.0,43417.0,24,True,2,,,9.0
24,strictdoc,strictdoc-project/strictdoc,strictdoc,,requirement-management-framework,https://github.com/strictdoc-project/strictdoc,https://github.com/strictdoc-project/strictdoc,,2020-05-14 18:03:48,2025-04-10 17:02:45,2025-04-08 19:23:41,4314.0,156.0,30.0,8.0,1582.0,118.0,400.0,177.0,2025-03-03 16:22:43,0.7.0,60.0,Software for technical documentation and requirements management.,11.0,11.0,27.0,https://pypi.org/project/strictdoc,2410.0,2410.0,24,True,1,,,
25,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2025-04-10 08:07:05,2025-03-23 17:43:00,931.0,1.0,84.0,16.0,563.0,213.0,205.0,2001.0,2024-08-16 02:54:35,0.15.0,37.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,,,31.0,https://pypi.org/project/prisma,309832.0,309832.0,22,True,3,,,
26,orm,encode/orm,orm,[],database-orms,https://github.com/encode/orm,https://github.com/encode/orm,BSD-3-Clause,2019-02-12 16:51:31,2022-08-30 10:12:31,2022-08-30 10:12:30,125.0,,97.0,41.0,78.0,17.0,64.0,1791.0,2021-11-29 09:20:38,0.3.1,8.0,An async ORM.,547.0,547.0,18.0,https://pypi.org/project/orm,6687.0,6687.0,22,True,3,,,
27,fastapi-limiter,long2ice/fastapi-limiter,fastapi-limiter,['rate-limiting'],restful-api-rate-limiting,https://github.com/long2ice/fastapi-limiter,https://github.com/long2ice/fastapi-limiter,Apache-2.0,2020-11-06 09:27:57,2024-04-11 07:46:38,2024-01-05 09:28:42,66.0,,56.0,9.0,24.0,31.0,15.0,568.0,2024-01-05 09:14:08,0.1.6,7.0,A request rate limiter for fastapi.,2321.0,2321.0,12.0,https://pypi.org/project/fastapi-limiter,146342.0,146342.0,22,True,3,,,
28,FastCRUD,igorbenav/fastcrud,,[],crud,https://github.com/igorbenav/fastcrud,https://github.com/igorbenav/fastcrud,MIT,2024-01-08 04:04:17,2025-04-07 05:09:37,2025-04-07 05:09:36,537.0,33.0,72.0,8.0,124.0,21.0,65.0,1005.0,2025-03-26 02:05:05,0.15.7,28.0,"FastCRUD is a Python package for FastAPI, offering robust async CRUD operations and flexible endpoint creation..",176.0,176.0,17.0,,,,20,True,1,,,
29,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,MIT,2018-01-26 09:56:10,2023-09-11 07:49:27,2022-01-20 14:55:31,1149.0,,36.0,21.0,491.0,12.0,131.0,859.0,2021-11-15 11:05:03,1.4.1,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,4656.0,4656.0,20,True,3,,,
30,piccolo-admin,piccolo-orm/piccolo_admin,piccolo-admin,[],admin-interface,https://github.com/piccolo-orm/piccolo_admin,https://github.com/piccolo-orm/piccolo_admin,MIT,2019-06-25 19:24:31,2025-04-10 07:31:26,2025-04-09 17:31:59,733.0,8.0,40.0,6.0,241.0,43.0,130.0,344.0,2025-01-16 23:23:00,1.9.1,60.0,A powerful web admin for your database.,,,20.0,https://pypi.org/project/piccolo-admin,8131.0,8131.0,20,True,3,1.0,,
31,fastapi-cloudauth,tokusumi/fastapi-cloudauth,fastapi-cloudauth,['authentication'],restful-api-authentication,https://github.com/tokusumi/fastapi-cloudauth,https://github.com/tokusumi/fastapi-cloudauth,MIT,2020-07-28 17:48:32,2023-05-17 13:14:36,2022-05-12 10:03:14,61.0,,37.0,5.0,40.0,31.0,18.0,345.0,2022-01-06 12:47:03,0.4.3,10.0,"Simple integration between FastAPI and cloud authentication services (AWS Cognito, Auth0, Firebase Authentication).",95.0,95.0,6.0,https://pypi.org/project/fastapi-cloudauth,43238.0,43238.0,19,True,3,,,
32,fastapi-jwt-auth,IndominusByte/fastapi-jwt-auth,fastapi-jwt-auth,['authentication'],restful-api-authentication,https://github.com/IndominusByte/fastapi-jwt-auth,https://github.com/IndominusByte/fastapi-jwt-auth,MIT,2020-07-23 09:40:19,2024-04-12 06:58:02,2020-11-11 05:05:27,123.0,,134.0,8.0,26.0,47.0,36.0,694.0,2020-11-06 11:15:11,0.5.0,5.0,"FastAPI extension that provides JWT Auth support (secure, easy to use, and lightweight).",,,3.0,https://pypi.org/project/fastapi-jwt-auth,79229.0,79229.0,18,True,3,,,
33,fastapi-sqlalchemy,mfreeborn/fastapi-sqlalchemy,fastapi-sqlalchemy,[],database-orm-integrations,https://github.com/mfreeborn/fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,MIT,2019-11-03 16:30:26,2024-04-09 04:47:10,2024-04-09 04:47:04,96.0,,41.0,11.0,27.0,10.0,13.0,646.0,2020-09-25 16:25:49,0.2.1,5.0,Adds simple SQLAlchemy support to FastAPI.,3.0,3.0,10.0,https://pypi.org/project/fastapi-sqlalchemy,74567.0,74567.0,18,True,3,,,
34,fastapi-security,jacobsvante/fastapi-security,fastapi-security,['authentication'],restful-api-authentication,https://github.com/jacobsvante/fastapi-security,https://github.com/jacobsvante/fastapi-security,MIT,2020-02-07 14:58:15,2023-08-02 13:24:12,2022-05-15 23:48:21,59.0,,7.0,2.0,6.0,1.0,3.0,151.0,2022-03-11 11:15:48,0.5.0,5.0,Implements authentication and authorization as FastAPI dependencies.,104.0,104.0,3.0,https://pypi.org/project/fastapi-security,10890.0,10891.0,17,True,3,,,75.0
35,fastapi-simple-security,mrtolkien/fastapi_simple_security,fastapi-simple-security,['authentication'],restful-api-authentication,https://github.com/mrtolkien/fastapi_simple_security,https://github.com/mrtolkien/fastapi_simple_security,MIT,2020-08-27 07:16:16,2023-12-19 20:22:23,2023-07-18 14:06:25,88.0,,32.0,1.0,18.0,1.0,10.0,357.0,2023-07-18 14:06:40,1.3.0,3.0,Drop-in API-key based security for FastAPI.,,,7.0,https://pypi.org/project/fastapi-simple-security,1376.0,1376.0,14,True,3,,,
36,fastapi-chameleon,mikeckennedy/fastapi-chameleon,fastapi-chameleon,['observability'],restful-api-templating,https://github.com/mikeckennedy/fastapi-chameleon,https://github.com/mikeckennedy/fastapi-chameleon,MIT,2020-10-26 16:11:14,2025-04-04 14:05:18,2025-04-04 01:02:24,72.0,2.0,27.0,8.0,13.0,2.0,13.0,141.0,2025-04-04 14:05:18,0.1.17,1.0,Adds integration of the Chameleon template language to FastAPI. #pypackage.,,,8.0,https://pypi.org/project/fastapi-chameleon,1397.0,1397.0,14,True,1,2.0,,
37,fastapi-jinja,AGeekInside/fastapi-jinja,fastapi-jinja,['observability'],restful-api-templating,https://github.com/AGeekInside/fastapi-jinja,https://github.com/AGeekInside/fastapi-jinja,MIT,2020-10-26 21:44:13,2024-11-16 02:53:24,2024-11-16 02:53:22,22.0,,11.0,1.0,6.0,,,71.0,,,,Adds integration of the Jinja template language to FastAPI.,,,5.0,https://pypi.org/project/fastapi-jinja,225.0,225.0,9,True,3,,,
38,fastapi-opentracing,wesdu/fastapi-opentracing,fastapi-opentracing,['observability'],restful-api-observability,https://github.com/wesdu/fastapi-opentracing,https://github.com/wesdu/fastapi-opentracing,MIT,2020-09-28 06:56:37,2023-02-06 03:09:19,2022-01-19 03:50:12,30.0,,7.0,2.0,24.0,5.0,1.0,24.0,,,,fastapi opentracing middleware works on k8s.,,,5.0,https://pypi.org/project/fastapi-opentracing,256.0,256.0,8,True,3,,,
39,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,,,,,,,,,,,,,,,,,,,,,,https://pypi.org/project/sqlalchemy,157758162.0,157758162.0,8,False,3,-37.0,,
40,fastapi-auth,dmontagu/fastapi-auth,fastapi-auth,['authentication'],restful-api-authentication,https://github.com/dmontagu/fastapi-auth,https://github.com/dmontagu/fastapi-auth,MIT,2019-12-18 03:00:54,2023-02-14 21:35:21,2019-12-18 04:11:46,1.0,,9.0,3.0,4.0,1.0,1.0,153.0,,,,Auth for use with FastAPI.,,,,https://pypi.org/project/fastapi-auth,94.0,94.0,7,False,3,-1.0,,
