,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
10,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-12-28 08:10:32,2023-12-28 08:09:39,719.0,3.0,332.0,39.0,548.0,9.0,249.0,3785.0,2023-08-26 08:37:15,12.1.2,97.0,Ready-to-use and customizable users management for FastAPI.,2639.0,2639.0,62.0,https://pypi.org/project/fastapi-users,58874,58877,30,True,1,159.0,-1.0
11,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-01-17 11:56:37,2024-01-16 02:49:26,1309.0,14.0,76.0,17.0,750.0,70.0,176.0,1511.0,2023-06-18 17:05:55,0.12.2,77.0,python async orm with fastapi in mind and pydantic validation.,954.0,954.0,35.0,https://pypi.org/project/ormar,71184,71184,30,True,2,,1.0
12,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2024-01-17 20:34:55,2024-01-14 18:38:10,799.0,24.0,65.0,15.0,452.0,169.0,178.0,1440.0,2024-01-14 18:40:15,0.12.0,33.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,2708.0,2708.0,27.0,https://pypi.org/project/prisma,54798,54798,29,True,2,,
13,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-12-30 05:14:08,2023-12-23 12:37:26,1733.0,14.0,81.0,15.0,427.0,92.0,243.0,1203.0,2023-12-23 12:41:29,1.2.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",320.0,320.0,42.0,https://pypi.org/project/piccolo,11584,11584,29,True,2,,
14,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2024-01-18 14:16:59,2024-01-17 23:14:43,1863.0,32.0,439.0,16.0,1236.0,336.0,531.0,556.0,2023-12-19 23:13:57,0.43b0,35.0,OpenTelemetry instrumentation for Python modules.,10.0,10.0,226.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,1728017,1728017,29,True,1,,
15,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2024-01-18 12:02:56,2023-12-13 08:30:05,329.0,16.0,140.0,12.0,369.0,21.0,160.0,1400.0,2023-11-14 09:13:13,0.16.0,35.0,SQLAlchemy Admin for FastAPI and Starlette.,546.0,546.0,46.0,https://pypi.org/project/sqladmin,40647,40647,28,True,1,,
16,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2024-01-17 04:40:27,2023-12-13 01:11:40,534.0,56.0,82.0,21.0,240.0,63.0,83.0,921.0,2023-12-13 12:49:48,1.0.0,19.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3171.0,3171.0,16.0,https://pypi.org/project/odmantic,20990,20990,28,True,3,,
17,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2023-11-20 08:28:09,2023-07-21 18:03:39,425.0,,70.0,4.0,191.0,32.0,54.0,733.0,2023-07-15 09:42:37,6.1.0,11.0,Instrument your FastAPI with Prometheus metrics.,1161.0,1161.0,25.0,https://pypi.org/project/prometheus-fastapi-instrumentator,356786,356786,26,True,3,,
18,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/Intility/fastapi-azure-auth,https://github.com/Intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2024-01-01 08:26:26,2023-10-30 18:05:32,304.0,13.0,56.0,11.0,99.0,5.0,73.0,361.0,2023-10-30 18:06:44,4.3.0,26.0,"Easy and secure implementation of Azure AD for your FastAPI APIs B2C, single- and multi-tenant support.",61.0,61.0,24.0,https://pypi.org/project/fastapi-azure-auth,71568,71568,26,True,2,,
19,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128.0,,145.0,50.0,472.0,45.0,262.0,2634.0,,,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2333.0,2333.0,46.0,https://pypi.org/project/gino,16922,16922,24,True,3,,
20,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2024-01-18 08:02:36,2024-01-18 08:02:36,382.0,1.0,314.0,34.0,38.0,38.0,70.0,2338.0,2021-08-31 03:28:51,1.0.3,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",241.0,241.0,13.0,https://pypi.org/project/fastapi-admin,2999,2999,24,True,3,,-1.0
21,fastapi-limiter,long2ice/fastapi-limiter,fastapi-limiter,['rate-limiting'],restful-api-rate-limiting,https://github.com/long2ice/fastapi-limiter,https://github.com/long2ice/fastapi-limiter,Apache-2.0,2020-11-06 09:27:57,2024-01-05 09:59:01,2024-01-05 09:28:42,66.0,14.0,41.0,8.0,19.0,16.0,14.0,358.0,2024-01-05 09:14:08,0.1.6,7.0,A request rate limiter for fastapi.,897.0,897.0,12.0,https://pypi.org/project/fastapi-limiter,29201,29201,24,True,1,,
22,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2024-01-14 06:55:32,2024-01-14 06:55:31,237.0,1.0,61.0,18.0,92.0,28.0,55.0,871.0,,,,A rate limiter for Starlette and FastAPI.,1773.0,1773.0,23.0,https://pypi.org/project/slowapi,127287,127287,23,True,3,,-1.0
