,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
11,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2025-03-24 15:15:55,2025-03-24 15:15:51,2435,125.0,662,22,2013,483.0,828.0,803,2025-03-20 14:48:07,0.52b1,,12249393.0,52.0,OpenTelemetry instrumentation for Python modules.,4.0,4.0,337.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,12249393.0,31,True,1,,,
12,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-02-15 16:26:10,2025-02-15 16:26:10,549,5.0,234,17,423,92.0,371.0,2255,2025-01-06 17:53:05,1.29.0,,345587.0,100.0,Asynchronous Python ODM for MongoDB.,3676.0,3676.0,105.0,https://pypi.org/project/beanie,345587.0,30,True,3,,BeanieODM/beanie,
13,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2025-02-20 08:02:36,2025-02-20 08:02:36,378,2.0,209,15,446,55.0,204.0,2085,2024-10-28 13:15:26,0.20.1,,192685.0,41.0,SQLAlchemy Admin for FastAPI and Starlette.,1467.0,1467.0,64.0,https://pypi.org/project/sqladmin,192685.0,29,True,1,,,
14,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2025-02-27 02:55:48,2025-01-27 02:34:45,1415,4.0,92,17,918,67.0,201.0,1719,2024-12-06 10:47:54,0.20.2,,41622.0,80.0,python async orm with fastapi in mind and pydantic validation.,1073.0,1073.0,41.0,https://pypi.org/project/ormar,41622.0,29,True,2,,,
15,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2025-03-21 22:44:30,2025-03-21 22:43:35,1868,16.0,93,17,530,129.0,317.0,1564,2025-03-21 22:44:30,1.24.1,,31927.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",459.0,459.0,48.0,https://pypi.org/project/piccolo,31927.0,29,True,2,,,
16,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2025-03-25 17:21:33,2025-03-21 12:45:58,3393,54.0,553,38,2634,395.0,668.0,4208,2025-03-13 21:34:10,0.262.5,611.0,957.0,100.0,A GraphQL library for Python that leverages type annotations.,,,275.0,https://pypi.org/project/strawberry,907.0,27,True,3,,,
17,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2025-03-17 17:35:46,2024-06-27 18:02:44,258,,87,13,118,39.0,62.0,1398,,,,998213.0,,A rate limiter for Starlette and FastAPI.,4720.0,4720.0,26.0,https://pypi.org/project/slowapi,998213.0,27,True,1,,,
18,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2025-03-24 20:53:52,2025-03-16 13:02:02,1317,47.0,52,16,654,6.0,54.0,894,2024-12-25 23:22:43,1.4.1,,15592.0,43.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,135.0,135.0,19.0,https://pypi.org/project/authx,15592.0,26,True,2,,,
19,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/intility/fastapi-azure-auth,https://github.com/intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2025-03-18 10:32:55,2025-03-18 10:31:54,355,16.0,72,13,124,3.0,108.0,512,2025-03-18 10:12:14,5.1.1,,137638.0,33.0,"Easy and secure implementation of Azure Entra ID (previously AD) for your FastAPI APIs B2C, single- and multi-tenant..",117.0,117.0,31.0,https://pypi.org/project/fastapi-azure-auth,137638.0,26,True,2,,,
20,Dapr SDK for Python,dapr/python-sdk,dapr-ext-fastapi,[],dappfs,https://github.com/dapr/python-sdk,https://github.com/dapr/python-sdk,Apache-2.0,2019-06-21 15:51:20,2025-03-17 22:19:17,2025-03-11 10:54:47,468,13.0,132,25,517,13.0,255.0,243,,,,407026.0,,Dapr SDK for Python.,814.0,814.0,76.0,https://pypi.org/project/dapr-ext-fastapi,407026.0,26,True,1,,,True
21,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2024-09-05 09:32:46,2024-09-05 09:32:46,395,,400,40,49,51.0,72.0,3112,2021-08-31 03:28:51,1.0.3,,8337.0,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",450.0,450.0,16.0,https://pypi.org/project/fastapi-admin,8337.0,25,True,3,,,
22,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128,,149,46,475,45.0,263.0,2701,,,,29453.0,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2480.0,2480.0,45.0,https://pypi.org/project/gino,29453.0,25,True,3,,,
23,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2025-01-23 21:09:34,2025-01-07 22:21:10,560,1.0,89,19,311,85.0,90.0,1109,2024-04-26 23:28:12,1.0.2,,42188.0,21.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3496.0,3496.0,19.0,https://pypi.org/project/odmantic,42188.0,24,True,3,,,
24,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00,2025-01-01 15:11:44,2025-01-01 15:10:36,481,1.0,60,10,93,1.0,58.0,667,2024-12-14 08:17:42,1.10.3,9.0,39631.0,25.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,1061.0,1061.0,14.0,https://pypi.org/project/fastapi-login,39631.0,24,True,2,,,
