,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,projectrank,show,projectrank_placing,trending,github_release_downloads,monthly_downloads
10,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-08-07 18:01:08,2025-08-07 18:01:08,6369.0,94.0,1087.0,234.0,2459.0,,,4252.0,2025-08-06 19:00:25,4.14.0,51.0,PyMongo - the Official MongoDB Python driver.,,,226.0,https://pypi.org/project/pymongo,25,True,3.0,,4932.0,66.0
11,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,,MIT,2018-10-27 20:53:26,2025-08-05 23:03:54,2025-08-05 23:03:54,1909.0,30.0,93.0,17.0,567.0,68.0,403.0,1663.0,2025-07-29 08:13:24,1.28.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",495.0,495.0,49.0,https://pypi.org/project/piccolo,25,True,2.0,,,
12,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,,MIT,2020-08-02 06:34:03,2025-06-10 10:22:35,2025-06-10 10:22:28,1421.0,2.0,93.0,16.0,924.0,68.0,202.0,1762.0,2024-12-06 10:47:54,0.20.2,80.0,python async orm with fastapi in mind and pydantic validation.,1097.0,1097.0,42.0,https://pypi.org/project/ormar,23,True,2.0,,,
13,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,,ISC,2020-07-09 10:57:52,2025-03-19 19:34:50,2025-03-19 19:32:47,448.0,,100.0,4.0,223.0,40.0,63.0,1202.0,2025-03-19 19:38:47,7.1.0,14.0,Instrument your FastAPI with Prometheus metrics.,6230.0,6230.0,29.0,https://pypi.org/project/prometheus-fastapi-instrumentator,23,True,1.0,,,
14,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,,Apache-2.0,2019-11-08 18:23:43,2025-08-07 14:00:44,2025-08-04 16:36:10,2564.0,80.0,742.0,21.0,2216.0,523.0,873.0,878.0,2025-07-29 15:43:21,0.57b0,62.0,OpenTelemetry instrumentation for Python modules.,,,372.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,23,True,1.0,,,
15,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,,MIT,2020-11-06 18:05:12,2025-08-04 04:23:27,2025-08-04 04:23:20,2573.0,64.0,146.0,13.0,1279.0,10.0,248.0,1410.0,2025-06-25 21:21:56,0.13.3,73.0,FastAPI pagination.,,,53.0,https://pypi.org/project/fastapi-pagination,22,True,1.0,,,
16,FastCRUD,igorbenav/fastcrud,,[],crud,https://github.com/benavlabs/fastcrud,https://github.com/benavlabs/fastcrud,benavlabs/fastcrud,MIT,2024-01-08 04:04:17,2025-06-16 01:51:45,2025-06-16 01:51:45,593.0,17.0,81.0,9.0,137.0,19.0,71.0,1212.0,2025-06-09 00:50:38,0.15.12,32.0,"FastCRUD is a Python package for FastAPI, offering robust async CRUD operations and flexible endpoint creation..",200.0,200.0,19.0,,22,True,1.0,,,
17,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,,MIT,2021-08-23 16:18:04,2025-08-04 21:46:59,2025-07-16 17:19:30,1349.0,21.0,54.0,16.0,670.0,6.0,58.0,971.0,2025-05-31 14:53:11,1.4.3,45.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,237.0,237.0,20.0,https://pypi.org/project/authx,22,True,2.0,,,
18,Dapr SDK for Python,dapr/python-sdk,dapr-ext-fastapi,[],dappfs,https://github.com/dapr/python-sdk,https://github.com/dapr/python-sdk,,Apache-2.0,2019-06-21 15:51:20,2025-08-07 14:24:41,2025-08-07 14:24:41,480.0,11.0,133.0,25.0,529.0,18.0,267.0,254.0,,,,Dapr SDK for Python.,880.0,880.0,82.0,https://pypi.org/project/dapr-ext-fastapi,22,True,1.0,,,
19,strictdoc,strictdoc-project/strictdoc,strictdoc,,requirement-management-framework,https://github.com/strictdoc-project/strictdoc,https://github.com/strictdoc-project/strictdoc,,,2020-05-14 18:03:48,2025-08-07 18:10:46,2025-08-06 17:50:33,4954.0,440.0,32.0,8.0,1819.0,118.0,447.0,198.0,2025-07-25 22:01:28,0.10.1,68.0,Software for technical documentation and requirements management.,14.0,14.0,30.0,https://pypi.org/project/strictdoc,22,True,1.0,,,
20,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406.0,,421.0,41.0,50.0,57.0,72.0,3367.0,2021-08-31 03:28:51,1.0.3,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",498.0,498.0,18.0,https://pypi.org/project/fastapi-admin,21,True,3.0,,,
21,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128.0,,149.0,45.0,475.0,45.0,263.0,2713.0,,,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2494.0,2494.0,45.0,https://pypi.org/project/gino,21,True,3.0,,,
22,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,,MIT,2020-02-21 12:56:20,2025-07-22 06:57:33,2024-06-27 18:02:44,258.0,,93.0,14.0,120.0,40.0,63.0,1558.0,,,,A rate limiter for Starlette and FastAPI.,7187.0,7187.0,26.0,https://pypi.org/project/slowapi,21,True,1.0,,,
23,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,,ISC,2020-05-01 13:59:45,2025-01-23 21:09:34,2025-01-07 22:21:10,560.0,,87.0,19.0,311.0,87.0,90.0,1122.0,2024-04-26 23:28:12,1.0.2,21.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3577.0,3577.0,19.0,https://pypi.org/project/odmantic,20,True,3.0,,,
24,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/intility/fastapi-azure-auth,https://github.com/intility/fastapi-azure-auth,,MIT,2021-08-10 19:46:24,2025-07-25 06:57:45,2025-07-25 06:56:51,359.0,3.0,77.0,11.0,128.0,5.0,115.0,543.0,2025-07-25 06:57:46,5.2.0,34.0,"Easy and secure implementation of Azure Entra ID (previously AD) for your FastAPI APIs B2C, single- and multi-tenant..",139.0,139.0,33.0,https://pypi.org/project/fastapi-azure-auth,20,True,2.0,,,
25,orm,encode/orm,orm,[],database-orms,https://github.com/encode/orm,https://github.com/encode/orm,,BSD-3-Clause,2019-02-12 16:51:31,2022-08-30 10:12:31,2022-08-30 10:12:30,125.0,,96.0,41.0,78.0,17.0,64.0,1793.0,2021-11-29 09:20:38,0.3.1,8.0,An async ORM.,556.0,556.0,18.0,https://pypi.org/project/orm,19,True,3.0,,,
26,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,,Apache-2.0,2020-12-16 04:29:28,2025-04-10 08:07:05,2025-03-23 17:43:00,931.0,,81.0,16.0,563.0,213.0,205.0,2008.0,2024-08-16 02:54:35,0.15.0,37.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,,,31.0,https://pypi.org/project/prisma,17,True,3.0,,,
27,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,,MIT,2018-01-26 09:56:10,2023-09-11 07:49:27,2022-01-20 14:55:31,1149.0,,36.0,21.0,491.0,12.0,131.0,858.0,2021-11-15 11:05:03,1.4.1,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,17,True,3.0,,,
28,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/maxrdu/fastapi_login,https://github.com/maxrdu/fastapi_login,maxrdu/fastapi_login,MIT,2019-10-21 14:47:00,2025-05-20 07:04:51,2025-05-20 07:04:51,482.0,1.0,65.0,10.0,94.0,1.0,58.0,700.0,2024-12-14 08:17:42,1.10.3,25.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,1123.0,1123.0,15.0,https://pypi.org/project/fastapi-login,17,True,2.0,,11.0,0.0
29,piccolo-admin,piccolo-orm/piccolo_admin,piccolo-admin,[],admin-interface,https://github.com/piccolo-orm/piccolo_admin,https://github.com/piccolo-orm/piccolo_admin,,MIT,2019-06-25 19:24:31,2025-07-29 08:25:27,2025-07-29 08:22:16,742.0,9.0,42.0,6.0,246.0,33.0,141.0,367.0,2025-07-29 08:25:27,1.12.0,63.0,A powerful web admin for your database.,,,22.0,https://pypi.org/project/piccolo-admin,17,True,3.0,,,
30,fastapi-jwt-auth,IndominusByte/fastapi-jwt-auth,fastapi-jwt-auth,['authentication'],restful-api-authentication,https://github.com/IndominusByte/fastapi-jwt-auth,https://github.com/IndominusByte/fastapi-jwt-auth,,MIT,2020-07-23 09:40:19,2024-04-12 06:58:02,2020-11-11 05:05:27,123.0,,135.0,8.0,26.0,47.0,36.0,723.0,2020-11-06 11:15:11,0.5.0,5.0,"FastAPI extension that provides JWT Auth support (secure, easy to use, and lightweight).",,,4.0,https://pypi.org/project/fastapi-jwt-auth,13,True,3.0,,,
31,fastapi-sqlalchemy,mfreeborn/fastapi-sqlalchemy,fastapi-sqlalchemy,[],database-orm-integrations,https://github.com/mfreeborn/fastapi-sqlalchemy,https://github.com/mfreeborn/fastapi-sqlalchemy,,MIT,2019-11-03 16:30:26,2024-04-09 04:47:10,2024-04-09 04:47:04,96.0,,43.0,11.0,27.0,10.0,13.0,662.0,2020-09-25 16:25:49,0.2.1,5.0,Adds simple SQLAlchemy support to FastAPI.,3.0,3.0,10.0,https://pypi.org/project/fastapi-sqlalchemy,13,True,3.0,,,
32,fastapi-limiter,long2ice/fastapi-limiter,fastapi-limiter,['rate-limiting'],restful-api-rate-limiting,https://github.com/long2ice/fastapi-limiter,https://github.com/long2ice/fastapi-limiter,,Apache-2.0,2020-11-06 09:27:57,2024-04-11 07:46:38,2024-01-05 09:28:42,66.0,,63.0,9.0,26.0,32.0,15.0,600.0,2024-01-05 09:14:08,0.1.6,7.0,A request rate limiter for fastapi.,,,12.0,https://pypi.org/project/fastapi-limiter,12,True,3.0,,,
33,fastapi-cloudauth,tokusumi/fastapi-cloudauth,fastapi-cloudauth,['authentication'],restful-api-authentication,https://github.com/tokusumi/fastapi-cloudauth,https://github.com/tokusumi/fastapi-cloudauth,,MIT,2020-07-28 17:48:32,2023-05-17 13:14:36,2022-05-12 10:03:14,61.0,,37.0,5.0,40.0,30.0,19.0,350.0,2022-01-06 12:47:03,0.4.3,10.0,"Simple integration between FastAPI and cloud authentication services (AWS Cognito, Auth0, Firebase Authentication).",,,6.0,https://pypi.org/project/fastapi-cloudauth,12,True,3.0,,,
34,fastapi-security,jacobsvante/fastapi-security,fastapi-security,['authentication'],restful-api-authentication,https://github.com/jacobsvante/fastapi-security,https://github.com/jacobsvante/fastapi-security,,MIT,2020-02-07 14:58:15,2023-08-02 13:24:12,2022-05-15 23:48:21,59.0,,8.0,2.0,6.0,1.0,3.0,153.0,2022-03-11 11:15:48,0.5.0,5.0,Implements authentication and authorization as FastAPI dependencies.,126.0,126.0,3.0,https://pypi.org/project/fastapi-security,12,True,3.0,,77.0,1.0
35,fastapi-simple-security,mrtolkien/fastapi_simple_security,fastapi-simple-security,['authentication'],restful-api-authentication,https://github.com/mrtolkien/fastapi_simple_security,https://github.com/mrtolkien/fastapi_simple_security,,MIT,2020-08-27 07:16:16,2023-12-19 20:22:23,2023-07-18 14:06:25,88.0,,32.0,1.0,18.0,1.0,10.0,374.0,2023-07-18 14:06:40,1.3.0,3.0,Drop-in API-key based security for FastAPI.,,,7.0,https://pypi.org/project/fastapi-simple-security,11,True,3.0,,,
36,fastapi-chameleon,mikeckennedy/fastapi-chameleon,fastapi-chameleon,['observability'],restful-api-templating,https://github.com/mikeckennedy/fastapi-chameleon,https://github.com/mikeckennedy/fastapi-chameleon,,MIT,2020-10-26 16:11:14,2025-04-04 14:05:18,2025-04-04 01:02:24,72.0,,27.0,9.0,13.0,1.0,14.0,141.0,2025-04-04 14:05:18,0.1.17,1.0,Adds integration of the Chameleon template language to FastAPI. #pypackage.,,,8.0,https://pypi.org/project/fastapi-chameleon,11,True,1.0,,,
37,fastapi-jinja,AGeekInside/fastapi-jinja,fastapi-jinja,['observability'],restful-api-templating,https://github.com/AGeekInside/fastapi-jinja,https://github.com/AGeekInside/fastapi-jinja,,MIT,2020-10-26 21:44:13,2024-11-16 02:53:24,2024-11-16 02:53:22,22.0,,11.0,1.0,6.0,,,71.0,,,,Adds integration of the Jinja template language to FastAPI.,,,5.0,https://pypi.org/project/fastapi-jinja,7,True,3.0,,,
38,fastapi-auth,dmontagu/fastapi-auth,fastapi-auth,['authentication'],restful-api-authentication,https://github.com/dmontagu/fastapi-auth,https://github.com/dmontagu/fastapi-auth,,MIT,2019-12-18 03:00:54,2023-02-14 21:35:21,2019-12-18 04:11:46,1.0,,10.0,3.0,4.0,1.0,1.0,168.0,,,,Auth for use with FastAPI.,,,,https://pypi.org/project/fastapi-auth,6,False,3.0,,,
39,fastapi-opentracing,wesdu/fastapi-opentracing,fastapi-opentracing,['observability'],restful-api-observability,https://github.com/wesdu/fastapi-opentracing,https://github.com/wesdu/fastapi-opentracing,,MIT,2020-09-28 06:56:37,2023-02-06 03:09:19,2022-01-19 03:50:12,30.0,,7.0,2.0,24.0,5.0,1.0,24.0,,,,fastapi opentracing middleware works on k8s.,,,5.0,https://pypi.org/project/fastapi-opentracing,6,True,3.0,,,
40,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,,,,,,,,,,,,,,,,,,,,,,,https://pypi.org/project/sqlalchemy,0,False,,-8.0,,
